body_system,health_concern,herb_name,latin_name,actions,indications,energetics,safety,dose_min_ml,dose_max_ml,dose_unit,ratio
Skin Condition,Fungal Infections,Pau d'Arco,Tabebuia impetiginosa,Antifungal; Antimicrobial; Anti-inflammatory,"Commonly used for candida, chronic dermatophyte infections and fungal-overgrowth syndromes",Cooling; Drying; Clearing,Generally safe; avoid in pregnancy; large doses may cause nausea,20,40,mL,1:2
Pregnancy & Lactation,Pregnancy & Lactation,Feverfew,Tanacetum parthenium,Migraine prophylactic; Anti-inflammatory,"Used for chronic headache prevention, not routine in pregnancy",Bitter; Warming; Drying,Contraindicated in pregnancy due to uterine activity; avoid in breastfeeding as safety data are limited,,,-,
Women's Health,Menstrual Irregularity,Feverfew,Tanacetum parthenium,Migraine prophylactic; Anti-inflammatory; Vascular modulator,Useful where menstrual irregularity is accompanied by hormonally triggered migraines and vascular headaches,Bitter; Warming; Drying,Contraindicated in pregnancy; non-pregnant adults generally tolerate well; may interact with anticoagulants,10,30,mL,1:2
Cardiovascular,Hypertension,Dandelion Leaf,Taraxacum officinale folia,Potassium-rich diuretic; Mild antihypertensive; Hepatic support,Assists in fluid reduction and gentle blood pressure support while sparing potassium,Cooling; Drying; Mildly stimulating,Generally safe; caution in severe renal impairment or bile duct obstruction,20,80,mL,1:2
Pregnancy & Lactation,Pregnancy & Lactation,Dandelion Leaf,Taraxacum officinale folia,Potassium-sparing diuretic; Nutritive,Used for mild oedema and mineral support,Neutral to cooling; Drying; Nutritive,Generally considered compatible with pregnancy and breastfeeding in modest food-like doses; avoid excessive diuretic use and monitor in renal disease,,,-,
Digestion & Liver,Bloating,Dandelion Root,Taraxacum officinale radix,Bitter digestive tonic; Mild laxative; Cholagogue; Liver support,"Useful for bloating related to sluggish liver, slow digestion or constipation; stimulates bile flow and improves digestive breakdown of fats",Cooling; Drying; Restorative to liver and gut,Very safe; avoid in bile duct obstruction,20,40,mL,1:2
Digestion & Liver,Constipation,Dandelion Root,Taraxacum officinale radix,Bitter digestive tonic; Mild laxative; Cholagogue; Hepatic support,Assists constipation associated with sluggish liver and poor digestive function; promotes bile flow and stool regularity,Cooling; Drying; Restorative to liver and gut,Very safe; caution in bile duct obstruction or severe gallbladder disease,20,40,mL,1:1
Digestion & Liver,Dyspepsia,Dandelion Root,Taraxacum officinale radix,Bitter digestive tonic; Cholagogue; Mild laxative,"Helpful in dyspepsia with heavy, fatty meals, fullness and sluggish liver function",Cooling; Drying; Restorative to liver and gut,Very safe; avoid in bile duct obstruction,20,40,mL,1:1
Pregnancy & Lactation,Pregnancy & Lactation,Dandelion Root,Taraxacum officinale radix,Bitter digestive; Hepatic support,"Used for mild constipation, digestion and liver support",Cooling; Drying; Mildly stimulating,"Low–moderate doses are usually regarded as acceptable in pregnancy and breastfeeding for digestive support, with practitioner guidance",,,-,
Digestion & Liver,Constipation,Dandelion whole plant,Taraxacum officinale whole plant (f),Bitter; Mild laxative; Cholagogue; Gentle detoxifier,"Useful for mild constipation with general sluggishness and poor elimination; supports liver, bile flow and bowel regularity",Cooling; Drying; Mildly stimulating; Restorative,Very safe; avoid in bile duct obstruction,25,60,mL,1:2
Pregnancy & Lactation,Pregnancy & Lactation,Arjuna,Terminalia arjuna,Cardiac tonic; Antioxidant,"Used for cardiovascular support, not as routine pregnancy herb",Neutral; Slightly cooling,Safety in pregnancy and lactation is inadequately studied; avoid use except under specialist cardiology/herbal oversight,,,-,
Skin Condition,Boils,Thuja,Thuja occidentalis,Immune-modulating; Antimicrobial; Lymphatic,"Used for chronic or recurrent infected skin lesions, boils and low-grade immune dysfunction",Warming to neutral; Drying; Moving,Use short term; avoid in pregnancy; caution with autoimmune disease and with high-thujone preparations,5,20,mL,1:2
Pregnancy & Lactation,Pregnancy & Lactation,Thuja,Thuja occidentalis,Antimicrobial; Immune-modulating; Warty lesion support,Used for warts and chronic infections,Warming to neutral; Drying; Moving,Contraindicated internally in pregnancy and breastfeeding due to thujone and neurotoxicity risks; topical use should also be cautious and limited,,,-,
Women's Health,Endometriosis,Thuja,Thuja occidentalis,Immune-modulating; Antimicrobial; Blood-moving,Used in some traditions for chronic pelvic congestion with immune involvement,Warming to neutral; Drying; Moving,Contraindicated internally in pregnancy; use only short-term in non-pregnant adults; neurotoxic in high doses,5,20,mL,1:2
Women's Health,Fibrocystic Breast,Thuja,Thuja occidentalis,Immune-modulating; Antimicrobial; Lymphatic,Used for chronic lymphatic congestion and stubborn breast cystic tendencies,Warming to neutral; Drying; Moving,Not to be used in pregnancy or lactation; neurotoxic in excess; short-term only in non-pregnant adults,5,20,mL,1:2
Women's Health,Fibroids,Thuja,Thuja occidentalis,Immune-modulating; Antiproliferative (traditional); Lymphatic,Used in some traditions for abnormal tissue growth and chronic pelvic congestion associated with fibroids,Warming to neutral; Drying; Moving,"Potent and potentially neurotoxic in high doses; avoid in pregnancy and lactation; limit to short-term, low–moderate doses under professional supervision",5,20,mL,1:2
Digestion & Liver,Diarrhoea,Thyme,Thymus vulgaris,Antimicrobial; Spasmolytic; Carminative,"Helpful for infectious or dysbiotic diarrhoea with gas, cramping and offensive stools; supports clearance of pathogens",Cooling to neutral; Drying; Warming to digestion,Generally safe; high doses may irritate sensitive mucosa; caution in known thyme or Lamiaceae allergy,15,40,mL,1:2
Skin Condition,Fungal Infections,Thyme,Thymus vulgaris,Antifungal; Antimicrobial; Spasmolytic,"Very effective for fungal overgrowth including candida; supports gut, skin and respiratory involvement",Warming; Drying; Clearing,Generally safe; high doses may irritate mucosa; avoid with Lamiaceae allergy,15,40,mL,1:2
Pregnancy & Lactation,Pregnancy & Lactation,Thyme,Thymus vulgaris,Antimicrobial; Expectorant; Spasmolytic,Used for respiratory infections,Warming; Drying; Clearing,"Culinary use is fine; medicinal doses can be used short term in pregnancy and breastfeeding for acute infections with care, avoiding very high doses and concentrated essential oil use",,,-,
Cardiovascular,Angina,Lime Flower,Tilia cordata,Peripheral vasodilator; Mild hypotensive; Nervine relaxant,Supports relaxation of vascular spasm and nervous tension that can aggravate angina-type chest tightness,Cooling; Moistening; Calming,Very safe; suitable long-term in gentle formulas,15,40,mL,1:2
Cardiovascular,Hypertension,Lime Flower,Tilia cordata,Mild hypotensive; Peripheral vasodilator; Nervine relaxant,"Useful for stress-related hypertension with tension, anxiety and poor sleep",Cooling; Moistening; Calming,Very safe; suitable for long-term gentle support,15,40,mL,1:2
Cardiovascular,Arrhythmia,Lime Flowers,Tilia cordata,Nervine relaxant; Mild hypotensive; Peripheral vasodilator,"Useful where cardiac rhythm is affected by anxiety, tension or autonomic imbalance",Cooling; Moistening; Calming,Very safe; suitable for long-term use,15,40,mL,1:2
Cardiovascular,Palpitations,Lime Flowers,Tilia cordata,Nervine relaxant; Mild hypotensive,"Supports anxiety-driven palpitations and autonomic overactivity, helping calm the heart and mind",Cooling; Moistening; Calming,Very safe for adults and children,15,40,mL,1:2
Pregnancy & Lactation,Pregnancy & Lactation,Lime Flowers,Tilia cordata,Nervine; Mild hypotensive; Diaphoretic,"Used for anxiety, insomnia and tension",Cooling; Moistening; Calming,Generally regarded as gentle and compatible with pregnancy and breastfeeding at modest doses,,,-,
Pregnancy & Lactation,Pregnancy & Lactation,Tinospora,Tinospora cordifolia,Immune-modulating; Anti-inflammatory; Metabolic support,Used in chronic inflammatory/metabolic disorders,Neutral to cooling; Nourishing,Traditional use exists but modern pregnancy/lactation safety data are sparse; generally avoid or use only under experienced traditional practitioner supervision,,,-,
Pregnancy & Lactation,Pregnancy & Lactation,Tribulus,Tribulus terrestris,Androgen-modulating; Fertility support,Used for libido and male/female fertility,Neutral; Drying,Hormone-modulating effects and limited data mean it is avoided once pregnancy is established; breastfeeding use is not well studied and is generally avoided,,,-,
Pregnancy & Lactation,Pregnancy & Lactation,Red Clover Flowers,Trifolium pratense,Alterative; Phytoestrogenic; Lymphatic,"Used for skin, lymph and menopausal issues",Cooling; Moistening; Nourishing,Phytoestrogenic actions mean it is generally used cautiously; low to moderate doses may be acceptable in pregnancy/lactation but should be practitioner-guided,,,-,
Digestion & Liver,Dyspepsia,Fenugreek,Trigonella foenum-graecum,Carminative; Mild demulcent; Metabolic support,"Useful for dyspepsia with sluggish digestion, heaviness after meals and metabolic imbalance such as dysglycaemia",Warming; Moistening; Nourishing,Generally safe; may mildly lower blood glucose and lipids; caution with anticoagulants at high doses,30,80,mL,1:2
Cardiovascular,Hypercholesterolaemia,Fenugreek,Trigonella foenum-graecum,Hypolipidaemic; Hypoglycaemic; Mild digestive tonic,Supports reduction of elevated cholesterol and triglycerides and improves glycaemic control,Warming; Moistening; Nourishing,Generally safe; may reduce blood glucose and lipids; caution with anticoagulants at high doses,30,80,mL,1:2
Men's Health,Fertility,Fenugreek,Trigonella foenum-graecum,Metabolic tonic; Mild androgen-supportive; Digestive aid,"Used to support male fertility where metabolic syndrome, low testosterone or reduced sperm parameters coexist",Warming; Moistening; Nourishing,Generally safe; may lower blood glucose and lipids; caution with anticoagulants at high doses,30,80,mL,1:2
Pregnancy & Lactation,Pregnancy & Lactation,Fenugreek,Trigonella foenum-graecum,Galactagogue; Metabolic support,Often used to increase milk supply,Warming; Moistening; Nourishing,Generally avoided in pregnancy (possible uterine stimulation and metabolic effects); widely used in lactation as a galactagogue but can cause GI upset and affect blood sugar,,,-,
Women's Health,PCOS,Fenugreek,Trigonella foenum-graecum,Insulin-sensitising; Mild androgen-modulating; Galactagogue,Useful for metabolic PCOS with insulin resistance and dyslipidaemia,Warming; Moistening; Nourishing,Generally safe for non-pregnant adults; may cause GI upset; can lower blood glucose and interact with antidiabetic medication; avoid in pregnancy,20,40,mL,1:2
Men's Health,Erectile Dysfunction,Damiana,Turnera diffusa,Nervine tonic; Mild aphrodisiac; Circulatory support,"Used for erectile dysfunction associated with fatigue, low mood and nervous tension; supports libido and pelvic circulation",Warming; Drying; Gently stimulating,Generally safe; avoid in significant liver disease at high doses,20,40,mL,1:2
Pregnancy & Lactation,Pregnancy & Lactation,Damiana,Turnera diffusa,Nervine; Mild aphrodisiac; Mood support,"Used for libido and mood, not core pregnancy care",Warming; Drying; Stimulating,Limited human data; generally avoided in pregnancy; may be acceptable at low doses in lactation under professional guidance if clearly indicated,,,-,
Women's Health,PCOS,Damiana,Turnera diffusa,Nervine; Mild androgen-modulating; Libido support,"Helpful in PCOS with low libido, mood disturbance and mild androgen imbalance",Warming; Drying; Stimulating,Generally safe at moderate doses in non-pregnant adults; avoid in pregnancy; caution with anxiety-prone individuals at high doses,15,30,mL,1:2
Digestion & Liver,Constipation,Slippery Elm,Ulmus rubra,Demulcent; Soothing; Mild bulk laxative,"Indicated in constipation with dryness, irritation or sensitivity of the gut; supports comfortable stool passage and mucosal healing",Cooling; Moistening; Protective,Very safe; ensure adequate fluid intake; may affect absorption of oral medicines if taken at the same time,,,-,
Haematology,Leukopaenia,Cat's Claw,Uncaria tomentosa,Immune modulator; Anti-inflammatory,Supports WBC recovery and immune balance in chronic inflammatory or immune-deficient states,Cooling; Drying; Clearing,Avoid in pregnancy; use cautiously in autoimmune disease flares,20,40,mL,1:2
Haematology,Anaemia,Nettle Leaf,Urtica dioica folia,Mineral-rich tonic; Iron-containing nutritive; Mild diuretic,Useful in iron-deficiency anaemia with fatigue and low vitality; supports haemoglobin formation and red cell production,Neutral to cooling; Drying; Nutritive,Very safe; monitor in advanced kidney disease,20,40,mL,1:2
Pregnancy & Lactation,Pregnancy & Lactation,Nettle Leaf,Urtica dioica folia,Mineral-rich nutritive; Mild diuretic,Used as a tonic tea for iron and minerals,Neutral to cooling; Drying; Nutritive,Widely used and generally considered safe in pregnancy and breastfeeding at tea-level or modest tincture doses,,,-,
Men's Health,Benign Prostatic Hypertrophy (BPH),Nettle Root,Urtica dioica radix,Prostate trophorestorative; Anti-inflammatory; Mild androgen-modulating,"Indicated for BPH with nocturia, frequency and decreased urinary flow; supports hormonal and local inflammatory balance",Neutral to cooling; Drying; Strengthening,Generally safe; mild GI upset possible; caution in advanced renal failure,20,40,mL,1:2
Men's Health,Prostatitis,Nettle Root,Urtica dioica radix,Prostate trophorestorative; Anti-inflammatory,"Useful in chronic prostatitis and prostatitis/BPH overlap with frequency, pelvic heaviness and nocturia",Neutral to cooling; Drying; Strengthening,Generally safe; caution in advanced renal failure,20,40,mL,1:2
Pregnancy & Lactation,Pregnancy & Lactation,Nettle Root,Urtica dioica radix,Prostate/urinary tonic; Anti-inflammatory,"Used mainly in BPH, not pregnancy support",Neutral to cooling; Drying,Safety data in pregnancy and lactation are limited; hormonal and genitourinary focus mean it is generally avoided in this context,,,-,
Cardiovascular,Capillary fragility,Bilberry,Vaccinium myrtillus,Capillary protective; Antioxidant; Microcirculatory tonic,"Supports fragile capillaries, bruising tendency and peripheral microcirculation",Cooling; Drying; Astringent,Very safe; suitable long-term,20,40,mL,1:2
Cardiovascular,Varicose Veins,Bilberry,Vaccinium myrtillus,Capillary protective; Antioxidant; Microcirculatory tonic,Supports capillary integrity and tone in varicose and spider veins,Cooling; Drying; Astringent,Very safe; suitable long-term,20,40,mL,1:2
Skin Condition,Bruising,Bilberry,Vaccinium myrtillus,Capillary protective; Antioxidant; Microcirculatory tonic,Supports healing of bruising and strengthens fragile capillaries,Cooling; Drying; Astringent,Very safe; suitable long-term,20,40,mL,1:2
Pregnancy & Lactation,Pregnancy & Lactation,Bilberry,Vaccinium myrtillus,Antioxidant; Capillary tonic,Can support microcirculation and antioxidant status in pregnancy,Neutral to cooling; Drying,"Generally regarded as low-risk food-like herb; moderate doses appear compatible with pregnancy and breastfeeding, but use under professional guidance",,,-,
Cardiovascular,Hypertension,Valerian,Valeriana officinalis,Sedative; Anxiolytic; Antispasmodic,Supports sleep and nervous system relaxation in stress-driven hypertension,Warming to neutral; Moistening; Grounding,Generally safe; may cause morning drowsiness; caution with other sedatives,15,50,mL,1:2
Pregnancy & Lactation,Pregnancy & Lactation,Valerian,Valeriana officinalis,Sedative; Anxiolytic; Antispasmodic,Used for insomnia and anxiety,Cooling to neutral; Moistening; Grounding,Often used in pregnancy and lactation when needed; dose should be moderate and monitored for next-day sedation in mother or infant,,,-,
Women's Health,PMS,Valerian,Valeriana officinalis,Sedative; Anxiolytic; Antispasmodic,"Indicated for PMS with marked irritability, insomnia, muscular tension and cramping",Cooling to neutral; Moistening; Grounding,Generally safe for non-pregnant adults; may cause morning drowsiness in some; caution with other sedatives,20,60,mL,1:2
Pregnancy & Lactation,Pregnancy & Lactation,Mullein,Verbascum thapsus,Respiratory demulcent; Mild anti-inflammatory,Used for dry cough and throat irritation,Neutral; Softening,Generally regarded as low-risk and compatible with pregnancy and breastfeeding at standard doses,,,-,
Digestion & Liver,Colic (Infants),Vervain,Verbena officinalis,Carminative; Mild bitter; Nervine relaxant; Antispasmodic,Supports colic where digestive discomfort is associated with tension or overstimulation; gently eases spasm and settles the nervous system,Cooling; Drying; Moves stagnation; Calming,Use only under practitioner supervision in infants; avoid high doses in pregnancy; monitor for rare sensitivity,20,40,mL,1:2
Pregnancy & Lactation,Pregnancy & Lactation,Vervain,Verbena officinalis,Nervine; Mild bitter; Spasmolytic,"Used for tension, headache and digestive stagnation",Cooling; Drying; Moving,Traditionally sometimes used around labour; in modern practice it is used cautiously and not as a routine pregnancy tonic; likely compatible with breastfeeding in modest doses,,,-,
Pregnancy & Lactation,Pregnancy & Lactation,Cramp Bark,Viburnum opulus,Antispasmodic; Uterine relaxant,"Used for uterine cramping, dysmenorrhoea and threatened miscarriage in some traditions",Cooling; Relaxing,"Clinicians differ: some use it cautiously for uterine spasm in pregnancy, others avoid due to lack of data; if used, it should be under specialist supervision only; generally compatible with breastfeeding",,,-,
Cardiovascular,Circulation / Raynaud's Syndrome,Crampbark,Viburnum opulus,Antispasmodic; Smooth muscle relaxant; Mild sedative,"Helps relieve vascular spasm and tension contributing to cold, painful extremities",Cooling; Relaxing; Slightly drying,Generally safe; mild nausea possible in some individuals,5,30,mL,1:2
Cardiovascular,Hypertension,Crampbark,Viburnum opulus,Antispasmodic; Smooth muscle relaxant,Gentle support where vascular tension and spasm contribute to elevated blood pressure,Cooling; Relaxing; Slightly drying,Generally safe; mild nausea possible,5,30,mL,1:2
Women's Health,Endometriosis,Crampbark,Viburnum opulus,Uterine antispasmodic; Muscle relaxant,"Reduces uterine and pelvic muscle spasm, relieving cramping and radiating pain common in endometriosis",Cooling; Relaxing,Generally well tolerated; avoid pregnancy; mild nausea possible in sensitive individuals,15,40,mL,1:2
Women's Health,Dysmenorrhoea,Black Haw,Viburnum prunifolium,Uterine antispasmodic; Smooth muscle relaxant,Classic remedy for painful uterine cramping and spasmodic dysmenorrhoea,Neutral to cooling; Relaxing,Generally well tolerated; avoid pregnancy; caution in individuals on anticoagulants,15,40,mL,1:2
Skin Condition,Eczema,Heartsease,Viola tricolor,Anti-inflammatory; Alterative; Mild lymphatic,"Gentle herb for childhood eczema, atopic dermatitis and irritated, inflamed skin",Cooling; Moistening; Calming,Very safe; suitable for sensitive patients,20,50,mL,1:2
Cardiovascular,Angina,Mistletoe,Viscum album,Hypotensive; Mild cardiotonic; Vascular modulator,Traditionally used to support blood pressure regulation and vascular tone in chronic cardiovascular patterns including angina?type presentations,Cooling; Drying; Grounding,Use only under professional supervision; avoid in pregnancy and with bradycardia unless closely monitored,20,40,mL,1:2
Skin Condition,Acne,Chaste Tree,Vitex agnus-castus,Hormone modulator; Dopaminergic; PMS support,"Indicated for hormonally driven acne, especially premenstrual flares and irregular menses",Warming to neutral; Drying; Regulating,Generally safe; may interact with dopamine-related medications; avoid in pregnancy,15,40,mL,1:2
Pregnancy & Lactation,Pregnancy & Lactation,Chaste Tree,Vitex agnus-castus,Hormone modulator; PMS support,"Used to regulate cycles and luteal function, not once pregnant",Warming to neutral; Drying,Usually avoided once pregnancy is established because of dopaminergic and hormonal actions; lactation use is controversial (can reduce prolactin at higher doses) and should be specialist-guided if attempted,,,-,
Women's Health,Amenorrhoea,Chaste Tree,Vitex agnus-castus,Hormone modulator; Dopaminergic; Cycle-regulating,Key herb for hypothalamic–pituitary dysregulation contributing to Amenorrhoea,Warming to neutral; Drying,Generally well tolerated; avoid in pregnancy; may interact with dopamine-related medications,20,40,mL,1:2
Women's Health,Dysmenorrhoea,Chaste Tree,Vitex agnus-castus,Hormone modulator; Dopaminergic; Cycle regulator,Useful for PMS-type dysmenorrhoea and luteal defects contributing to painful periods,Warming; Drying,Generally well tolerated; avoid in pregnancy; may interact with dopamine agents,20,40,mL,1:2
Women's Health,Endometriosis,Chaste Tree,Vitex agnus-castus,Hormone modulator; Dopaminergic; LH/FSH regulator,"Useful where luteal phase defects, progesterone deficiency or cyclic acne/PMS worsen endometriosis symptoms",Warming to neutral; Drying,Generally safe for non-pregnant cycling individuals; avoid in pregnancy; may interact with dopaminergic medications,20,40,mL,1:2
Women's Health,Fertility,Chaste Tree,Vitex agnus-castus,Hypothalamic–pituitary modulator; Progesterogenic; Cycle regulator,"Primary herb for luteal phase defect, irregular cycles and progesterone deficiency impacting fertility",Warming to neutral; Drying,Generally safe in fertility work; avoid once pregnancy is confirmed; monitor when using hormonal medications,20,40,mL,1:2
Women's Health,Fibrocystic Breast,Chaste Tree,Vitex agnus-castus,Hormone modulator; Dopaminergic; Prolactin-regulating,"Key herb for cyclic breast tenderness, fibrocystic changes and luteal phase imbalance",Warming to neutral; Drying,Generally safe for non-pregnant adults; avoid in pregnancy; may reduce prolactin—use carefully in breastfeeding,20,40,mL,1:2
Women's Health,Fibroids,Chaste Tree,Vitex agnus-castus,Hormone modulator; Dopaminergic; Cycle-regulating,"Key herb for fibroids linked with oestrogen–progesterone imbalance, irregular cycles and PMS-type symptoms",Warming to neutral; Drying,Generally safe for non-pregnant adults; avoid use once pregnant; may interact with dopamine-active medications,20,40,mL,1:2
Women's Health,Mastalgia,Chaste Tree,Vitex agnus-castus,Hormone modulator; Dopaminergic; Prolactin-regulating,"Key herb for cyclical breast tenderness, PMS mastalgia and luteal phase imbalance",Warming to neutral; Drying,Generally well tolerated; avoid pregnancy; may lower prolactin—use carefully in breastfeeding,20,40,mL,1:2
Women's Health,Menopause,Chaste Tree,Vitex agnus-castus,Hormone modulator; Dopaminergic; Cycle-regulating,"Useful in perimenopause for irregular cycles, PMS-like symptoms and prolactin imbalance",Warming to neutral; Drying,Generally safe; avoid pregnancy; may interact with dopamine-active medicines,20,40,mL,1:2
Women's Health,Menorrhagia,Chaste Tree,Vitex agnus-castus,Hormone modulator; Progesterogenic; Cycle regulator,"Useful where heavy bleeding is driven by luteal insufficiency, PMS or estrogen dominance",Warming to neutral; Drying,Generally safe for non-pregnant menstruating adults; avoid once pregnant; may interact with dopaminergic medications,20,40,mL,1:2
Women's Health,Menstrual Irregularity,Chaste Tree,Vitex agnus-castus,Hormone modulator; Dopaminergic; Cycle regulator,"Key herb for irregular, anovulatory or short luteal cycles with PMS, acne or breast tenderness",Warming to neutral; Drying,Generally safe for non-pregnant menstruating adults; avoid once pregnant; may interact with dopamine-active medications,20,40,mL,1:2
Cardiovascular,Hypercholesterolaemia,Withania,Withania somnifera,Adaptogen; Anti-inflammatory; Metabolic tonic,"Used to support stress resilience, metabolic balance and systemic inflammation in cardiometabolic risk patterns",Warming to neutral; Nourishing; Grounding,Generally safe; caution in hyperthyroidism or with sedatives at high doses,35,80,mL,1:2
Men's Health,Erectile Dysfunction,Withania,Withania somnifera,Adaptogen; Nervine tonic; Mild androgen-supportive,"Useful for ED associated with stress, fatigue and low testosterone; supports sleep and recovery",Warming to neutral; Nourishing; Grounding,Generally safe; caution in hyperthyroidism or with sedative medications at high doses,35,80,mL,1:2
Men's Health,Fertility,Withania,Withania somnifera,Adaptogen; Gonadal and adrenal tonic; Nervine,"Supports sperm parameters, testosterone, stress resilience and sleep in male infertility",Warming to neutral; Nourishing; Grounding,Generally safe; caution in hyperthyroidism or with sedatives at high doses,35,80,mL,1:2
Haematology,Anaemia,Withania,Withania somnifera,Adaptogen; Haematopoietic tonic; Anti-inflammatory,"Supports anaemia with fatigue, stress and low resilience; promotes healthy red cell production",Warming to neutral; Nourishing; Grounding,Generally safe; caution in hyperthyroidism or with sedatives at high doses,35,80,mL,1:2
Haematology,Leukopaenia,Withania,Withania somnifera,Adaptogen; Haematopoietic tonic; Immune supportive,"Supports marrow recovery, white cell production and resilience under chronic stress",Warming to neutral; Nourishing; Grounding,Generally safe; caution with hyperthyroidism or sedatives,35,80,mL,1:2
Pregnancy & Lactation,Pregnancy & Lactation,Withania,Withania somnifera,Adaptogen; Nervine; Anti-inflammatory,"Used for stress, sleep and adrenal support",Warming to neutral; Nourishing; Grounding,"Some clinicians use it cautiously in pregnancy, particularly later, though robust data are lacking; appears compatible with breastfeeding at moderate doses under supervision",,,-,
Women's Health,PMS,Withania,Withania somnifera,Adaptogen; Nervine; Anti-inflammatory,"Useful for PMS with fatigue, overwhelm, stress intolerance and sleep disruption",Warming to neutral; Nourishing; Grounding,Generally safe for non-pregnant adults; caution in hyperthyroidism or with sedatives at very high doses,35,80,mL,1:2
Cardiovascular,Circulation / Raynaud's Syndrome,Prickly Ash,Zanthoxylum spp.,Circulatory stimulant; Peripheral vasodilator; Sialagogue,"Classic herb to improve peripheral circulation and relieve numb, cold extremities",Diffusely warming; Drying; Moving,Use cautiously in pregnancy and with gastric irritation or anticoagulant medications,10,30,mL,1:2
Cardiovascular,Hypotension,Prickly Ash,Zanthoxylum spp.,Circulatory stimulant; Peripheral vasodilator,"Used for cold, sluggish circulation and low BP with faintness and poor peripheral perfusion",Warming; Drying; Moving,"Use with care in pregnancy, gastric irritation and with anticoagulant therapy",10,30,mL,1:2
Cardiovascular,Varicose Veins,Prickly Ash,Zanthoxylum spp.,Circulatory stimulant; Peripheral vasodilator,Used to enhance peripheral blood flow and reduce stasis in chronically congested veins,Warming; Drying; Moving,"Use cautiously with anticoagulant therapy, gastric irritation and pregnancy",10,30,mL,1:2
Skin Condition,Chilblains,Prickly Ash,Zanthoxylum spp.,Circulatory stimulant; Peripheral vasodilator,"Classic herb for cold extremities and impaired microcirculation; promotes warm, healthy blood flow",Warming; Drying; Moving,"Use cautiously with anticoagulants, gastric irritation or pregnancy",10,30,mL,1:2
Pregnancy & Lactation,Pregnancy & Lactation,Prickly Ash,Zanthoxylum spp.,Circulatory stimulant; Sialagogue,Used for poor circulation and stagnation,Warming; Drying; Moving,Usually avoided in pregnancy due to circulatory stimulation and limited safety data; use cautiously or avoid in lactation,,,-,
Pregnancy & Lactation,Pregnancy & Lactation,Corn Silk,Zea mays stigma,Demulcent; Mild diuretic; Urinary soothing,Occasionally used for UT discomfort in pregnancy,Cooling; Moistening; Soothing,"Generally regarded as low-risk and compatible in modest doses for urinary support in pregnancy and breastfeeding, with professional guidance",,,-,
Men's Health,Prostatitis,Corn Silk,Zea mays stigma,Demulcent urinary soothing agent; Mild diuretic,"Useful for prostatitis with burning, irritation and frequent urination; soothes urinary mucosa",Cooling; Moistening; Soothing,Very safe; no major contraindications at standard doses,20,50,mL,1:5
Digestion & Liver,Bloating,Ginger,Zingiber officinale,Carminative; Warming digestive stimulant; Anti-nausea; Antispasmodic,"Relieves bloating with coldness, sluggish motility, nausea or cramping; improves circulation and gut warmth; helpful in post-meal heaviness and gas",Warming; Drying; Stimulating; Moves stagnation,Very safe; use caution with anticoagulants at very high doses,5,15,mL,1:2
Digestion & Liver,Dyspepsia,Ginger,Zingiber officinale,Carminative; Warming digestive stimulant; Anti-nausea,"Indicated for dyspepsia with nausea, coldness, slow motility and upper abdominal discomfort",Warming; Drying; Stimulating; Moves stagnation,Very safe; caution with anticoagulant medication at high doses,5,15,mL,1:2
Cardiovascular,Angina,Ginger,Zingiber officinale,Circulatory stimulant; Mild antiplatelet; Anti-inflammatory; Digestive support,Helps improve peripheral and coronary circulation and reduce cold-type stagnation that may aggravate chest tightness,Warming; Drying; Stimulating; Dispersing,Generally safe; caution in high doses with anticoagulant/antiplatelet medications,20,50,mL,1:2
Cardiovascular,Circulation / Raynaud's Syndrome,Ginger,Zingiber officinale,Circulatory stimulant; Warming; Mild antiplatelet,Supports peripheral warmth and microcirculation in cold Raynaud-type extremities,Warming; Drying; Stimulating,Generally safe; caution with anticoagulants in high doses,20,50,mL,1:2
Skin Condition,Chilblains,Ginger,Zingiber officinale,Circulatory stimulant; Warming; Anti-inflammatory,Supports warming of extremities and improved microcirculation in recurrent chilblains,Warming; Drying; Stimulating,Generally safe; caution with anticoagulants at high doses,20,50,mL,1:2
Pregnancy & Lactation,Pregnancy & Lactation,Ginger,Zingiber officinale,Carminative; Anti-nausea; Warming circulatory,Very commonly used for nausea and vomiting of pregnancy,Warming; Drying; Dispersing,Substantial human data support safety for early pregnancy nausea at moderate doses; high doses and long-term heavy use are avoided; compatible with breastfeeding in culinary/therapeutic amounts,,,-,
Women's Health,Endometriosis,Ginger,Zingiber officinale,Anti-inflammatory; Circulatory stimulant; Analgesic,"Relieves inflammatory pelvic pain, improves circulation and reduces nausea associated with endometriosis",Warming; Drying; Dispersing,Generally safe for non-pregnant individuals; caution with anticoagulant therapy at higher doses,20,50,mL,1:2
Cardiovascular,Palpitations,Zizyphus,Ziziphus jujuba var. spinosa,Sedative; Anxiolytic; Heart-spirit tonic,Traditional herb for insomnia and palpitations arising from anxiety and deficiency patterns,Cooling; Moistening; Nourishing,Generally safe; mild digestive upset possible at high doses,30,80,mL,1:2
Skin Condition,Hyperhidrosis(Excessive sweating),Zizyphus,Ziziphus jujuba var. spinosa,Sedative; Anxiolytic; Spirit-calming,"Useful where excessive sweating is associated with anxiety, sleep disturbance or autonomic imbalance",Cooling; Moistening; Nourishing,Generally safe; mild GI upset possible,30,80,mL,1:2
